Loading (p.u.),Name,Bus1,Bus2,
1.0108296025727574,Line.padswitch(r:p1udt24154-p1udt6673)p1u_260299,p1udt24154-p1udt6673x.1.2.3,p1udt24154.1.2.3,
1.0117625577880307,Line.l(r:p1udm35502-p1udt10708lv),p1udt10708lv.1.2,p1udm35502.1.2,
1.0119466451173647,Line.padswitch(r:p5udt11624-p5udt8660)p5u_136033,p5udt11624-p5udt8660x.1.2.3,p5udt11624.1.2.3,
1.0120845221216936,Line.l(r:p1udt20150-p1udt25256),p1udt20150-p1udt25256x.1.2.3,p1udt20150-p1udt25256xx.1.2.3,
1.012092500835643,Line.padswitch(r:p1udt20150-p1udt25256)p1u_261735,p1udt20150-p1udt25256xx.1.2.3,p1udt25256.1.2.3,
1.0120925029654295,Line.padswitch(r:p1udt20913-p1udt25256)p1u_261732,p1udt25256.1.2.3,p1udt20913-p1udt25256xx.1.2.3,
1.012092505096059,Line.l(r:p1udt20913-p1udt25256),p1udt20913-p1udt25256xx.1.2.3,p1udt20913-p1udt25256x.1.2.3,
1.0121095269669906,Line.padswitch(r:p1udt20913-p1udt25256)p1u_261733,p1udt20913-p1udt25256x.1.2.3,p1udt20913.1.2.3,
1.012109529098451,Line.padswitch(r:p1udt20913-p1udt22152)p1u_261730,p1udt20913.1.2.3,p1udt20913-p1udt22152x.1.2.3,
1.0121095312198916,Line.l(r:p1udt20913-p1udt22152),p1udt20913-p1udt22152x.1.2.3,p1udt20913-p1udt22152xx.1.2.3,
1.0121233863512513,Line.padswitch(r:p1udt20913-p1udt22152)p1u_261731,p1udt20913-p1udt22152xx.1.2.3,p1udt22152.1.2.3,
1.0121233884728416,Line.padswitch(r:p1udt16447-p1udt22152)p1u_261712,p1udt22152.1.2.3,p1udt16447-p1udt22152xx.1.2.3,
1.012123390594745,Line.l(r:p1udt16447-p1udt22152),p1udt16447-p1udt22152xx.1.2.3,p1udt16447-p1udt22152x.1.2.3,
1.012146756739369,Line.padswitch(r:p1udt16447-p1udt22152)p1u_261713,p1udt16447-p1udt22152x.1.2.3,p1udt16447.1.2.3,
