OpenDSS Value (p.u.),Bus,
0.9477459714508546,p1rlv7373,
0.9477663877406368,p1ulv50780,
0.9477689279974818,p3udt13340lv,
0.9477727502290492,p3udt8252lv,
0.9477747430157321,p1rlv3661,
0.9477828844673575,p3udm10741,
0.9477964357824497,p4ulv32115,
0.9478031193646077,p1ulv11497,
0.947808183442881,p1rlv6342,
0.9478351567649761,p1rlv2180,
0.9478485569841429,p1rdt1165lv,
0.9478550221253288,p4ulv5728,
0.9478835597744165,p1ulv8417,
0.9478842872952116,p1rlv1112,
0.9478890235582943,p1rlv12525,
0.9478969641478255,p1rdm704,
0.9479033467422316,p1rdm76,
0.9479170376089835,p3udt28835lv,
0.9479425389527515,p1rdm4033,
0.947959449619332,p1rdm1862,
0.947973669253388,p3udt29921lv,
0.9479791496625526,p3udt9404lv,
0.9479914603259452,p3udt16214lv,
0.948007363561422,p1rlv8716,
0.9480090630862931,p1rlv10306,
0.9480092699816464,p1ulv48239,
0.9480149770031979,p5ulv13052,
0.9480394221897613,p1rlv13034,
0.9480930120980021,p1ulv24844,
0.9481225793883914,p1rdm10153,
0.9481258917354526,p1rlv12920,
0.9481336971597268,p1rlv11002,
0.9481403857775992,p1udt2085lv,
0.948191693879114,p3udt29165lv,
0.9482043357977817,p1rdm388,
0.9482048636264769,p1ulv25502,
0.9482230750543695,p4udt4095lv,
0.9482288424636965,p1ulv48307,
0.9482561480557111,p1rlv2045,
0.9482562066173202,p1udm57152,
0.9482656180324296,p1ulv48240,
0.948276535905814,p1ulv9749,
0.9483005668149925,p1ulv18454,
0.9483171864995038,p1rlv13164,
0.9483198216983018,p1rdm8461,
0.9483325679111145,p1rlv855,
0.9483833397335264,p1rlv10304,
0.9483851420512628,p3udt22464lv,
0.9483880472386255,p3udt9929lv,
0.9484363728615784,p1rdm6937,
0.9484379360266441,p1udm14761,
0.9484386277224984,p1rlv559,
0.9484411781127035,p3udt30084lv,
0.9484699610444299,p1rlv5705,
0.9484776084166502,p1rlv3917,
0.9484847014074473,p1ulv26752,
0.9484959146076164,p1rlv6338,
0.9484964928253232,p1rlv3371,
0.9485146088696951,p1ulv58128,
0.9485153272941127,p1rdm386,
0.9485216332445852,p1rdm4035,
0.9485232108664269,p1rlv9647,
0.94852344041513,p1rdm1859,
0.9485394123927829,p3udt12927lv,
0.9485464560026231,p4ulv14702,
0.9485491363802778,p1rdt4720lv,
0.9485631584234119,p1rlv2181,
0.9485696859922994,p1rlv1643,
0.9485764134838034,p1rdt5580lv,
0.9485789388196695,p1rlv11274,
0.9485916701393532,p3udt25980lv,
0.9486236550701124,p1rdt5018lv,
0.9486252262433157,p1rlv7532,
0.9486257874747922,p1ulv52058,
0.9486802493339188,p1ulv21050,
0.9486950763371981,p1rdm6243,
0.9487147462955196,p1rlv9784,
0.9487574104320629,p1rlv13687,
0.948758156897473,p1rlv1641,
0.9488001296106825,p1ulv31158,
0.9488304452138021,p1rlv1111,
0.948855138222799,p1rlv6089,
0.9488706949437362,p1rdm706,
0.9488825226647805,p4udm13294,
0.9489004650949335,p4udt15820lv,
0.9489068629826667,p1rlv1113,
0.9489241945375398,p1rdm1857,
0.9489242452906839,p3udt31107lv,
0.948925997764244,p1rlv701,
0.948965062961721,p1rdm4032,
0.9489972807566048,p1rdm2360,
0.9490046254594421,p1rdm705,
0.9490182717383979,p1ulv61891,
0.9490370963420413,p3udt3093lv,
0.9490473724829372,p1rdm5108,
0.9490735309711806,p1rlv6086,
0.9490913692496799,p1rdm1559,
0.9491137733426764,p3ulv23744,
0.9491155484958567,p1udm18400,
0.9491525432960792,p1rdm11692,
0.9491921306747085,p3ulv61897,
0.9491931802221262,p1rdm1275,
0.9492443909259247,p1udm3173,
0.9492491791463489,p1rlv5701,
0.9492589043630201,p1ulv41382,
0.9492828385635265,p1rlv7376,
0.9492861967057455,p1rdm714,
0.9492944243119402,p1rlv11550,
0.9493492085087267,p1ulv5307,
0.9493520686796211,p1ulv38225,
0.9493581362896296,p1rdm10152,
0.9493948794797292,p1rlv5700,
0.9493976900917711,p1rlv2463,
0.949461111300174,p1rdm10386,
0.9494639701400232,p1rlv8056,
0.949471035872435,p1rdm10385,
0.9494888892396054,p5udm14347,
0.9495204231783209,p3udt27318lv,
0.949535160482112,p1rlv8978,
0.9495403075774116,p1udm19890,
0.9495415192359696,p1rlv13297,
0.9495438523671895,p1rdt3410lv,
0.9495604729911441,p1rdm712,
0.9495624800852399,p1udm14760,
0.949564179794142,p1rlv5957,
0.949567241797782,p1rlv11981,
0.949603139063349,p1udt11296lv,
0.9496193438349736,p1udm14763,
0.9496741165943772,p1rdm1013,
0.9497059378088392,p1rdm1864,
0.9497155754666298,p1rlv4913,
0.9497193751853488,p4udt13478,
0.9497349271359861,p1udm18414,
0.9497613788523815,p4udt7961,
0.9497628692707313,p1rlv4911,
0.9497679120014859,p1udm51746,
0.9497949179525587,p1rlv3051,
0.9497975049030198,p4udm13295,
0.9498088105955507,p4udt10234,
0.949808936417639,p4udt11049,
0.9498118543377699,p1rlv10307,
0.9498126089984774,p1rdm2357,
0.94983669510837,p1rdt428-p1rdt6205xx,
0.9498393730121012,p3ulv16830,
0.9498472765777152,p1rlv307,
0.9498518798389994,p1ulv36391,
0.949880691601191,p1rdm1273,
0.9498940742700296,p1rlv7103,
0.9499054014562108,p1rlv11982,
0.9499273912193625,p1rlv437,
0.9499294979986529,p1rdt428-p1rdt6205x,
0.9499294994394466,p1rdt428,
0.9499366765322428,p4udt21353,
0.9499486020291413,p1ulv8483,
0.9499515737341562,p1rdt7562,
0.9499527100931221,p1rlv6341,
0.9499784577542363,p4ulv14701,
0.9499908569797924,p1rdt3027,
0.9499955815366409,p1ulv11498,
0.9499989371823907,p1rdm2888,
