OpenDSS Value (p.u.),Bus,
0.0,p5udt258-p5udt6995x,
0.0,p5udt3176-p5udt795xx,
0.0,p5udt2968-p5udt474x,
0.0,p5udt1182-p5udt6326x,
0.0,p5udt2770-p5udt5776xx,
0.0,p5udt2770-p5udt5776x,
0.0,p5udt5346-p5udt6203x,
0.0,p5udt21589-p5udt22374xx,
0.0,p5udt2968-p5udt474xx,
0.0,p5udt5346-p5udt6203xx,
0.0,p5udt1719-p5udt1852xx,
0.0,p5udt1182-p5udt6326xx,
0.0,p5udt1719-p5udt1852x,
0.0,p5udt2626-p5udt3779xx,
0.0,p5udt14305-p5udt8746x,
0.0,p5udt14305-p5udt8746xx,
0.0,p5udt709-p5udt7563xx,
0.0,p5udt709-p5udt7563x,
0.0,p5udt27271-p5udt33384xx,
0.0,p5udt6457-p5udt6458xx,
0.0,p5udt6457-p5udt6458x,
0.0,p5udt2626-p5udt3779x,
0.0,p5udt21589-p5udt22374x,
0.9197464308336307,p1ulv20391,
0.9220063409552361,p1rdt4523-p1rdt5233x,
0.925644312671444,p1rlv9311,
0.9259732048272322,p1rlv8794,
0.9260416276953103,p1rdt6244lv,
0.92628728009742,p1rlv2533,
0.9267910863927736,p1rlv6665,
0.9275990084359063,p3ulv36964,
0.9278047827767215,p1rdt6509lv,
0.9283918664348318,p1rdm4813,
0.9290644619398604,p1rlv13371,
0.9293518197724997,p1rlv7190,
0.9302372804846076,p3udm5725,
0.9305154739512497,p1rdt2261lv,
0.9311707107414768,p1rdt5069lv,
0.9320111280069207,p1rdt5233_b2_1,
0.9320532086829616,p1rdt5233_b1_1,
0.9329056191225874,p1rlv7880,
0.932915248173239,p1rlv4892,
0.9330659898175114,p1rdt6509,
0.9331453496571782,p1rdt5233-p1rdt6509x_b2_1,
0.9331454537947648,p1rdt5233-p1rdt6509x_b1_1,
0.9331540945673201,p1rdt5233-p1rdt6509x,
0.933154094671894,p1rdt5233,
0.9333096967395307,p1rlv6907,
0.9336201413506467,p1rlv12866,
0.9336373326305777,p1ulv15227,
0.9338870277657997,p1ulv15226,
0.9340742887412021,p1rdt5069,
0.9340802520506651,p1rdm9882,
0.9341206501509136,p1rlv12049,
0.9350148607955233,p1rdt5658-p1rdt7010x,
0.9352712332251676,p1rdt5233lv,
0.9355946721887313,p1rdt5658-p1rdt7010xx,
0.9356814789838441,p1rdt5767,
0.9360600230304765,p1rlv1386,
0.9361267100170685,p1rdt6244,
0.936165777143864,p1rdt2261,
0.9362595609544362,p4ulv4062,
0.936315889348932,p1rlv11234,
0.9363241712139081,p1rlv4048,
0.9363863153188814,p1ulv43276,
0.9364633212873416,p1rlv5420,
0.9365019618161519,p1ulv2196,
0.9366937543624466,p1rdt8032,
0.9369045968032104,p1rlv558,
0.9369123742529029,p1rdt5767lv,
0.9370878916897313,p1rlv7528,
0.9371510507090626,p1rlv11367,
0.9372249736880646,p1rlv4047,
0.9372359313242375,p4ulv30874,
0.9374060268851547,p1rdt7414lv,
0.9374164175771666,p1rdm2871,
0.937571573114024,p3ulv24618,
0.9376385525104227,p4ulv39243,
0.9378286681198931,p3ulv8981,
0.9379678441638866,p1rdt7358lv,
0.9381028233165308,p4ulv17330,
0.9382780753587521,p3ulv1050,
0.9383069019813384,p1rlv13035,
0.9386986623469413,p4ulv28737,
0.938734477115625,p3ulv25390,
0.9387843346915041,p1rlv4267,
0.9389798096971952,p1rlv9355,
0.9390155438639564,p1ulv9025,
0.9390986468160929,p4ulv35076,
0.939114268285266,p1rdt8032lv,
0.9392609734576659,p1rdm1271,
0.9395123291286359,p3ulv80060,
0.9395584559470833,p1rlv1117,
0.9396218676686302,p3ulv5002,
0.9396560472532846,p3ulv66224,
0.9398930435347199,p1ulv31229,
0.9400169294847371,p1rdt3562lv,
0.9400736205516355,p4ulv2781,
0.9401801810201563,p3ulv1052,
0.9401974615828603,p4ulv34679,
0.9402108972427027,p1rlv2991,
0.940257634918527,p5ulv7086,
0.9402870540434419,p1rlv12251,
0.9403135808580773,p1rlv1642,
0.9403695824273439,p1rdm3336,
0.9404025862121556,p1rlv2729,
0.9404952873994135,p3udm15576,
0.9404968634800024,p4ulv43014,
0.9405699457276718,p4ulv275,
0.9405812526358657,p1rdt7414,
0.9405873402794237,p4ulv9506,
0.9406080432955206,p1rdt6244-p1rdt7414x,
0.940628374091871,p1rdm1270,
0.9407045306300285,p1rlv12921,
0.9407439280849355,p1rlv13165,
0.9407483968116614,p3ulv1842,
0.9407496548988799,p3ulv10515,
0.94082665256988,p1ulv54489,
0.9408294761951408,p3udm5727,
0.9408361676106216,p1rlv992,
0.9408680309238024,p1ulv46516,
0.940979536931885,p1rdm2368,
0.9409824454812454,p3ulv32411,
0.9410020151660714,p3ulv71657,
0.9410049182913273,p1rdm5517,
0.9410123410183842,p1rlv10066,
0.9410302083729981,p1rlv8843,
0.9412257014330432,p3ulv28492,
0.9412742573137901,p3ulv23746,
0.9413664975050495,p1rlv6454,
0.9414288260024402,p1rlv13037,
0.9414614649820943,p1rdm5111,
0.9416228864231667,p1ulv58806,
0.9416294124662432,p5udm15036,
0.9416714272788853,p1rlv5283,
0.9417204414966239,p4ulv18602,
0.9417373746926031,p1rlv8306,
0.9417899918744607,p1ulv22352,
0.9417903539980931,p4ulv12958,
0.9418208757480605,p1rdt7358,
0.9418450698643722,p3ulv74693,
0.9419060946714625,p3ulv54787,
0.9419312102443992,p1rlv4910,
0.9419625593511852,p1rlv7524,
0.9420150089920668,p4udm6956,
0.9420194686297635,p1rlv8718,
0.9420452440806972,p3ulv30794,
0.9420902074897659,p3ulv70914,
0.9421079481407638,p3ulv78510,
0.9421470749363532,p1rdm2874,
0.9422045722020723,p1rlv2046,
0.9422438329947092,p4ulv24882,
0.9422533973825755,p4ulv27473,
0.9422962838264799,p3ulv33196,
0.942381732620905,p1rlv11154,
0.942388272163863,p1rlv12401,
0.9423953815627544,p1rdm5521,
0.9424051092256379,p1rlv7801,
0.9424179187261812,p4udm6958,
0.9424822147274449,p1rlv4912,
0.9425092187722668,p1rlv6580,
0.9425273029487751,p3udm15575,
0.9425443347675405,p1rlv6579,
0.942568978982955,p1rlv12113,
0.9425728394701129,p1udm25772,
0.9425765877889836,p1rlv8304,
0.942611720317022,p3ulv17559,
0.9426820245272378,p1ulv35142,
0.9426982959448275,p3udm3058,
0.9427224642012407,p1rlv9100,
0.9427475487273781,p4ulv24493,
0.9427616241081233,p3udm5724,
0.9427643046845378,p1rlv8437,
0.9428212164129157,p1ulv23582,
0.942844085037775,p1rlv8722,
0.94285812970829,p1rdm2128,
0.942862556483013,p3ulv25391,
0.9429387690720604,p1rlv5154,
0.9429546718669982,p1rdm3333,
0.9429576686929697,p3ulv60081,
0.9429676796534837,p3udm26115,
0.9429680366456158,p1rlv305,
0.9429817581059792,p1rdm8193,
0.9429821249167175,p3udm64386,
0.9430212239793041,p1rlv12776,
0.9430273229964073,p1ulv45208,
0.9431839778491625,p4udm667,
0.9432308508902749,p3ulv22981,
0.9432704087488161,p1rlv7247,
0.9432774010407686,p1rdt544lv,
0.9432834990690337,p1rdm5520,
0.9432941645081057,p4ulv9509,
0.9433138020154859,p1ulv54487,
0.9433519031778633,p1rdt1056lv,
0.9433677091986095,p1rlv1234,
0.9433689001385981,p1ulv58126,
0.9433701551206809,p1rlv3369,
0.943401122610878,p4ulv42173,
0.9434029825530835,p3udm29726,
0.943406238127561,p1rdm3334,
0.9434249220791812,p1rlv12641,
0.9434451640000165,p1rdm9542,
0.9434836080812854,p4ulv19399,
0.9435048305175813,p1rlv5702,
0.9435417187004838,p1rdt6207lv,
0.9436142178684663,p1rlv3662,
0.9436319562967601,p1rdm2130,
0.9436383264986941,p3ulv69337,
0.9436787563948497,p4ulv32950,
0.9436873174439813,p4ulv39678,
0.9437405347556257,p1rdm11073,
0.9437485972030922,p1ulv902,
0.9437507010500824,p3udm26117,
0.9437884418507507,p1rlv13033,
0.9438112813794274,p1rlv12250,
0.9438170679086202,p1rdm2132,
0.9438265113008739,p3udm60575,
0.9438376031558936,p1rlv11153,
0.9438662878584486,p1rdm9545,
0.9438683796661141,p3ulv12111,
0.9438686213146104,p4ulv19859,
0.9438828577826294,p4ulv30446,
0.9439145674211906,p3ulv1051,
0.9439281436651363,p1rlv8058,
0.9439688927317853,p4udm668,
0.9440255529833855,p1rlv7669,
0.944054712584528,p1rlv4326,
0.94409946593844,p1rlv11980,
0.9441096136613838,p1rdm10151,
0.9441375329105293,p1rlv4614,
0.9441610856766808,p1rdt4160lv,
0.9441639939141764,p1rlv4324,
0.9441697646283722,p1ulv32536,
0.9442097800114843,p1rdm5518,
0.9442182842838636,p1ulv45189,
0.9442548153422412,p1rdt8049lv,
0.9442764491502259,p1rlv3113,
0.944286283077708,p1rdm11071,
0.9443194015962788,p1rlv4050,
0.9444140063408961,p1rdt1297lv,
0.9444186303164176,p3udm53571,
0.9444247626238146,p1rlv9938,
0.9444563858874795,p1rlv8053,
0.9444806899156599,p1udm37161,
0.9444814647584806,p3udm10742,
0.9444911278177391,p3ulv70916,
0.944493869882484,p1rlv9357,
0.9445088996659915,p4udm666,
0.9445320424267973,p4udm34834,
0.9445456723129698,p1rlv6577,
0.9445764079937801,p1rdt944lv,
0.9446230695059178,p3ulv45608,
0.9446286403651375,p4udm31016,
0.9446358280839479,p1rdm2133,
0.9446617502330702,p1rlv8175,
0.944663168427946,p1ulv9026,
0.9446799322641996,p1rdm7282,
0.9446804165853967,p1rlv9360,
0.9446864734242703,p1rdm5512,
0.944699564748703,p1rdm2592,
0.944715929978845,p4ulv4449,
0.9447221333156449,p1ulv6535,
0.9448015284442459,p3ulv30795,
0.9448033398035798,p4ulv14285,
0.9448092404135531,p3ulv35513,
0.9448729812289641,p4ulv27469,
0.9448751724999245,p3ulv74694,
0.9448956980670218,p3ulv37745,
0.9449203771961127,p4udm31018,
0.944930488091185,p1rlv5703,
0.9449338397820034,p1ulv42634,
0.9449338397820034,p1ulv22369,
0.9449388464502854,p1rlv11001,
0.9449508952500494,p1rdt6068lv,
0.9449674869199967,p1rlv4613,
0.944989832196681,p4ulv19854,
0.945050264198518,p4ulv26584,
0.9450522611977625,p3ulv41650,
0.9450549853786889,p4udt12806lv,
0.9450640457304679,p3udt4504lv,
0.9450713511502462,p1ulv41307,
0.9450760254816469,p4udt2623lv,
0.9451256374777346,p1rdt2414lv,
0.9451506254701902,p4ulv39247,
0.9452059198904327,p3ulv16832,
0.9452514468346469,p1rlv9937,
0.9452530281645414,p1rlv1114,
0.9452611257682034,p3udm29728,
0.9452756867686276,p1rdm9546,
0.9452766731299235,p3udt19734lv,
0.9452884516721533,p1udt21614lv,
0.9452900811570872,p1rdm12947,
0.9452992982913965,p1udt14726lv,
0.9453116697964716,p1rdm7279,
0.9453250013939253,p5ulv11444,
0.9453253508326839,p1rdm5519,
0.9453649669164024,p1rdm7283,
0.9454078261715728,p1rdm78,
0.9454176506751019,p4udm31424,
0.9454266771269015,p1rdm7278,
0.9454348692752799,p1rlv5418,
0.9454413795125325,p3ulv60875,
0.9454909825906692,p1rlv1646,
0.9454967676731478,p3ulv14434,
0.9455365681891316,p1rlv11277,
0.9455930887449213,p1rdt1520lv,
0.9455954317278875,p1udm25776,
0.9456084636165497,p1rdm9547,
0.9456311902968054,p3ulv24620,
0.9456381136606102,p3udt893lv,
0.9456562189067627,p1rdm5511,
0.9456574924183914,p1rdm5513,
0.945658052136705,p1rlv2989,
0.9456839016904758,p4udt13889lv,
0.9456883093699989,p3ulv30793,
0.945693909004423,p3ulv72416,
0.9456953356449858,p3ulv22980,
0.94570202723458,p4udt13478lv,
0.9457111334306033,p3ulv62407,
0.9457173390266188,p1rdm2135,
0.9457412966332671,p3udt22210lv,
0.9457788084772525,p1rlv11708,
0.9457798102948853,p3ulv67794,
0.9457982091830264,p1udm37160,
0.9458191291294318,p3ulv19867,
0.9458387948587089,p1rdm703,
0.9458607229960826,p1ulv28764,
0.9459366560185878,p1rdm1274,
0.9459538844959846,p3ulv9708,
